text,category
ช่วงที่ยื้อเยื้อกันอยู่นี้เค้าก็เกิดอารมณ์ทางเพศกับเรา,negative
ยังไม่หายคิดถึงเลยซึ่งเราก็งง,positive
ไม่ใช่รักแรก แต่เธอคือรักแท้ที่ดีที่สุดที่ผมเคยเจอมา,positive
ต้องปิดบังข้อมูลส่วนตัวเยอะขนาดนั้นเลยเหรอคะ,negative
เราเป็นฝ่ายทักไปคุย ละเราก็คุยเกือบทุกวันเลย เขาทักบ้างเราทักบ้าง,positive
อยู่ด้วยกันแล้ว คบกันมานาน,positive
ยิ่งต้องเชื่อมั่นในตัวเองมากขึ้นเท่านั้น,positive
คุณภาพชีวิตมาจากคุณภาพความคิดของเราเอง,positive
เตรียมความพร้อมกับความสำเร็จที่จะมาถึงด้วย,positive
เขาไม่ได้บอกอะไรบางอย่างกับเรา,negative
อยากลืมนะคะ แต่คนมันชอบมากๆ,positive
เราฝันถึงเขาเกือบจะทุกคืน,positive
ได้ไปเที่ยว ได้เก็บความทรงจำดีๆด้วยกัน,positive
ใจมันเต้นแรงมาก,positive
พี่เขาก็บอกว่าความจริงแล้วเขาก็รู้สึกดีกับเรานะ,positive
ทุกคนว่าน่าน้อยใจมั้ยคะ?,negative
บางวันก็มีแอบร้องไห้,negative
รดน้ำให้กับความคิดที่สร้างประโยชน์ให้กับตนเอง,positive
เราคบกับแฟนมานานพอควร,positive
จนกลายเป็นลูกรักอีกคนของบ้านเราไปแล้ว เผลอๆ แม่รักเขามากกว่าเราอีก,positive
รักที่ดีที่สุดสำหรับเราคือรักในปัจจุบัน,positive
ใครจะมาเอาเราที่มีสถานะแบบนี้,negative
เค้าก็ทิ้งเราไปด้วยเหตุผลว่าเค้าไม่เหมือนเดิม,negative
แล้วพี่ชายหมอเหมือนแอบชอบเราเลยค่ะ,positive
ชีวิตหลังแต่งงาน จะรู้สึกอุ่นใจเมื่อกลับบ้าน,positive
ลังเลกับชีวิตคู่ตอนนี้มาก,negative
หลายคนมองหาความสุขจากสิ่งรอบตัว,positive
เรามีแฟนแล้วค่ะ เราตั้งสถานะกับแฟนเราตามปกติที่คู่รักทำกัน,positive
เรารู้สึกมันเสียเวลาอ่ะค่ะ,negative
ทำไมเราถึงลืมคนคุยเก่าไม่ได้สักที,negative
หนูก็ยังไม่กล้าถามพ่อกับแม่ค่ะ,negative
ผมว่าคนนี้แหละน่ารักที่สุดแล้วสำหรับผม จนแบบไม่อยากมีคนอื่นเลย,positive
เราเกือบบอกเลิกในหลายๆครั้ง,negative
รู้สึกไม่อยากขัดเวลาเค้าและด้วยความที่โตๆกันแล้วอ่ะค่ะ,negative
แต่บทสนทนาเริ่มไม่เหมือนเดิม รู้สึกว่าเขาทําตัวเหมือนห่าง,negative
ถ้าเป็นทุกคนจะทำยังไงคะเลิกกับเขารึเลิกเล่นเกม,negative
ได้คุยกันในความเป็นพี่น้องซึ่งเขาเป็นที่ปรึกษาที่ดี,positive
ที่เราดูๆเหมือนผู้หญิงก็ยังรักยังคิดถึงอยู่,positive
เค้าก็จะผิดนัดเราเสมอๆ,negative
เรื่องนั้นมันค่อนข้างสาหัสสำหรับเราเลย,negative
ปัจจุบันเค้าเลิกกันแล้วนะคะ,negative
เขาบอกเขาชอบคนอื่น เราก็มีเสียใจนิดๆแต่ก็เฉยๆอ่ะค่ะ,negative
เค้าทะเลาะกัน เลิกกันจริง,negative
ไม่เคยแอบชอบใครมานานแล้ว,negative
คุยกับเพื่อนเเต่เเทบจะไม่คุยกับเราเลย,negative
เราชอบคนที่อายุมากกว่า แต่ว่าลองทักมาคุยกันก่อนก็ได้ ขอคนจริงจังจริงใจ ปล่อยใจสบายๆนะ,positive
เราคิดว่าในช่วงเวลาที่เราไม่ได้อยู่ด้วย ไม่ได้ทำอะไรให้กัน,negative
สุดท้ายเค้าก็พบว่าเราไม่ใช่ขนาดนั้น,negative
เรื่องราวมีอยู่ว่าเราคบกับเเฟนได้ 3 ปี ค่ะ เเฟนนอกใจเราไป 2 ครั้ง,negative
เขาบอกเลิกกับแฟนไปนานแล้ว,negative
เราก็ตัดเพื่ิอนคนนี้ไม่ได้,positive
แล้วเราเองที่เป็นคนขอความสัมพันธ์ที่ไม่มีสถานะ,positive
เลิกติดต่อกับเขาไปหลายเดือนเลย,negative
ตอนที่คบกันก็มีเค้าเป็นเซฟโซน,positive
เลยไม่อยากไปจู้จี้เท่าไหร่,negative
คุยกันทั้งวันไม่เป็นทำอะไรเลย,positive
ทุกครั้งเราก็จะกลายเป็นคนง้อเค้า ร้องไห้ฟูมฟาย,negative
คบกับแฟนมา3ปี ผมไม่เคยแสดงความรักความเอาใจใส่ ห่วงใยแฟนเลย,negative
ยื้อเยื้อกันมาอีกสองปี,negative
ตอนนี้คิดว่ากำลังเจอ เพราะเรารู้สึกว่าเราไม่ต้องพยายามอะไรเพื่อเขาเลย มันรู้สึกมันพอดีกัน อบอุ่นหัวใจ,positive
ผมบอกว่าผมเปิดใจให้เพศทางเลือก,positive
เปลี่ยนไปในทางที่ดีขึ้นได้ เป็นผู้เป็นคนได้ก็เพราะเขา,positive
ทำอะไรก็จะบอกตลอด,positive
รู้สึกสบายใจเวลาคุยด้วย,positive
เขาไม่มีทั้งคำว่ารัก ไม่มีทั้งการกระทำที่บ่งบอกว่ารักเรา,negative
ไม่รู้จะเริ่มยังไง,negative
เขาคุยกับแฟนเก่าของเขาซึ่งแฟนเก่าของเขาเหมือนไม่อยากคุยด้วย,negative
คุณเคยอยากเจอคนที่ยังไม่รู้จัก แต่เห็นครั้งแรกก็ชอบ,positive
เราขึ้นมาบ้าน เค้ารีบออกมา,positive
แฟนไม่มีเวลาให้,negative
เรารักเขามากเลยค่ะเขาตรงสเป็คเราทุกอย่างเลย,positive
เก็บเงินไปลงทุนหรือสร้างความทรงจำดีๆให้ตัวเองดีกว่านะ,positive
เขาบอกมันมีอะไรหลายๆ อย่างที่ไม่ลงตัว,negative
เค้าก็บอกจะกลับมาคบกับเราเป็นแฟน,positive
ถ้าจะคบกันจะมีปัญหาอะไรไหมคะ,negative
ความคิดในหัวคือ เราทำอะไรผิดวะ,negative
คุยกันมีความสุขมากๆนะคะ,positive
ผมอยากมีแฟนที่แบบเปิดเผย แบบให้ครอบครัวเขารับรู้ว่าเราคบกัน,positive
เลิกกันไปเพราะเค้าทำผิดกับเรา,negative
ผมยังมองไม่ห็นเลยว่าเขาจะเปิดตัวผมกับครอบครัวเขาเมื่อไร ,negative
คืองี้นะคะแฟนเราห้ามเราทำในสิ่งที่เราชอบทุกอย่าง,negative
นางแอบรักเพื่อนคนนึงตั้งแต่มัธยมเป็นเพื่อนผู้ชายที่สนิทที่สุด แต่ผู้ชายคนนั้นดันชอบเพื่อนสนิทนางแต่เพื่อนสนิทนางไม่ได้ชอบ,negative
ไม่รู้เลยว่าความรักดีๆเป็นยังไง,negative
คิดถึงคนอื่นถือว่านอกใจ ,negative
แต่ตลอด7ปีที่คบกันแฟนมีเพื่อนเยอะ ชอบไปปาร์ตี้กันบ่อย พอเมาเราสองคนก็จะทะเลาะกัน,negative
มีความสุขที่สุด,positive
คุยลักษณะเชิงชู้สาว,negative
เขาย้ำให้เราเข้มแข็งและอยู่ต่อไป,positive
เลยตัดสินใจพอสักที,negative
ขอแค่รู้ว่ายังมีกันอยู่,positive
เพียงแต่เลือกโฟกัสเฉพาะด้านที่ดี,positive
เราตัดเขาไม่ขาดจริงๆค่ะ ถ้าเขาไม่มาง้อป่านนี้ก็คงทางใครทางมันไปเเล้ว,positive
ภาระเลยอยู่ที่เรา เราเหนื่อยมาก,negative
เราเห็นแล้วมันเจ็บปวดทรมานยังไงไม่รู้,negative
ยังเก็บรูปผู้หญิงคนนั้นเอาไว้เป็นรูปที่เขากอดกัน,positive
ทั้งเป็นทุกข์ และรู้สึกแย่มากๆ,negative
แต่เราก็ไม่เคยทำอีกแล้ว เขาก็ไม่ให้เราเล่นเลยค่ะ,negative
คุณนอไลฟ์สิบครั้งคุณโตโยก็มาทั้งสิบครั้ง มาครั้งละนานๆ,positive
มีพื้นฐานมาจากเพื่อนที่สนิทมากๆ  ,positive
ผ่านเรื่องเวลาแย่ๆมาด้วยกันเราจะเดินร่วมทางกันไป,positive
เราเลยงง ว่ามันอะไรกันแน่,negative
แต่พอคุยไปมันไม่ใช่,negative
เราเป็นคนไม่ชอบคำพูดคาจาแรงๆ,positive
สงสาร​ตัวเองโดนเขาทิ้ง,negative
การที่เราบริหารเงินล้มเหลวจะทำให้คุณต้องผิดหวังกับตัวเองอย่างมาก,negative
เค้าไปมีคนอื่น,negative
สักวันเดี๋ยวก็มีคนที่เรารักเขาเขาก็รักเราเข้ามาเอง,positive
เราคิดว่าที่เราสบายใจเวลาคุยกับเขาเพราะเราอาจจะชอบเขา,positive
จริงจังกับความรับผิดชอบ,positive
จะไม่สนใจกันเลยใช่ไหม,negative
เวลาเราเจอกันที่โรงเรียนจะไม่ค่อยคุยกันเลย,negative
เราโคตรดีใจ,positive
ผมก็ไม่เข้าใจเหมือนกันหรืออะไร,negative
ตกลงคบกับอีกคนนึงทันที,positive
เราก็เลิกคุยกับเค้า,negative
คุณนออยากจะเริ่มความสัมพันธ์ใหม่,positive
อยู่ด้วยกันทุกวัน ตัวติดกันตลอด,positive
เราก็อยากมีใครสักคนมาเติมเต็มในช่วงเวลา,positive
มีอีกหนึ่งประโยคที่ทำให้เราสั่นไปทั้งตัว,negative
ทำให้เรามีความสุข,positive
ตอนนี้เราทำใจได้แล้วนะคะ,positive
ใจนึงก็รักเค้ามาก,positive
ผู้หญิงที่โดนเเฟนคนแรกทิ้งเขาจะลืมเเฟนคนแรกได้ไหมครับ,negative
อยากแชร์ความรักที่ดีที่สุด,positive
ก็ได้ยินเสมอว่า บางคนอายุไม่สำคัญ,positive
บางวันเราเหนื่อยมากๆจากงานจากนู้นนี่นั้น ไม่อยากหาอะไรที่ทำให้บรรยากาศเสียเพราะทั้งเค้าทั้งเราก็เหนื่อย,negative
มีปัญหาอะไรเราแก้ให้หมด อยากได้อะไรก็หาซื้อให้,positive
ไม่คุยด้วย เขาจะวางสาย ไม่รับสายเราเลย,negative
เค้าบล็อคเฟสไอจีเราตั้งแต่เลิกกันจนตอนนี้ก็ยังไม่ปลดบล็อคค่ะ,negative
เราเองเเอบมั่นใจนิดๆเเล้วว่าพี่ชายเค้าก็ชอบเรา,positive
ตอนรู้เรื่องก็รู้สึกแอบไม่ไว้ใจเขา,negative
เรากับแฟนอยู่คนละที่,negative
ถ้าอยู่ด้วยกันแบบไม่เอาเรื่องบนเตียงมาเป็นปัจจัยในการใช้ชีวิตคู่ มันจะไปกันรอดไหม ทั้งที่อีกฝ่ายก็ยังมีความต้องการเรื่องบนเตียงอยู่,negative
หล่อเกินไปทำยังไงดีคะ,positive
หลังจากนั้นเค้าก็ไม่ได้มาง้ออะไร มีแต่เราที่ง้อเค้า,negative
เราเกิดคำถามในใจมาตลอดว่าทำไมยังลืมคนคุยเก่าไม่ได้,negative
ก็รักเขามากขึ้นทุกวัน,positive
แฟนก้อยอมทุกอย่างเพราะเค้ารักเรามาก,positive
ไม่รู้จะทำยังไงดี ตัดใจก็ตัดใจไม่ได้ซะด้วย,negative
ตอนนี้กลายเป็นว่าความเชื่อใจที่เราให้เขาพังไปหมดเลย,negative
เค้าไปหาเพื่อน ไปกับน้องชาย ไปกับพี่ชายเค้า ซึ่งนิสัยก็คือเจ้าชู้มากๆกันหมด,negative
ผ.ชคนนี้ก็ดีคะสนใจความรู้สึกคนอื่นมากเราเล่นเกมด้วยกันจนมีความรู้สึกที่มากไปกว่าเพื่อนร่วมเกม.,positive
ผมยังไม่ไปไหน ผมยังคิดถึงเเต่เขา,positive
เค้าทักเรามาบอกว่าคิดถึงเรา,positive
ยอมรับว่าโกรธ แต่ทำอะไรไม่ได้,negative
เขาส่งคำหวานมาเราก็เขิน แต่ไม่ออกอาการอะไรมาก,positive
เรียกง่ายๆคือเราหึงไม่เป็นเลยค่ะ,positive
ลูกเค้ากับหาเรื่อง ใส่ร้าย หาคำมาว่าเราสารพัด,negative
อีกใจนึงคือไม่ไหวกับการกระทำเค้าแล้ว,negative
ครั้งนึงในชีวิตของทุกคนคงมีความรักที่ดีที่สุดที่ไม่อาจจะลืมได้,positive
มักไม่ค่อยมีเวลาให้ค่อนข้างโฟกัสกับงานตลอด,negative
เราไม่อยากให้เค้าเสียใจกับเราอีก,negative
พอหลังๆทำไมผมกลับไปจุดเดิม,negative
พอมาตอนนี้เรารู้แล้วว่าเขาคือคนที่เราแอบชอบ,positive
แล้วสิ่งที่ไม่เคยคิดก็เกิด,negative
ทำอะไรไม่ถูก ไม่เป็นตัวของตัวเองเลย ไม่กล้าทำความรู้จัก,negative
ช่วงนี้ฝันถึงผู้หญิง​ ผู้หญิง​คนนี้คือเป็นเหมือน​รักครั้งแรก​ของผมตอนประถม​ แบบว่าฝันเสร็จ​ตื่นมาคิดถึง​เขาเฉย,positive
พอดีแนวคิด พื้นเพใกล้เคียงกัน เลยปรับตัวหากันได้ง่าย,positive
ช่วงประมาณ6เดือนแรกที่คบกัน รับได้นะคะ,positive
ช่วงนี้การไปมาหาสู่ก็ลำบากนะ,negative
และแล้วเค้าก็เปลี่ยนไป จนมีผู้หญิงใหม่อยู่ที่นู้น,negative
ในอนาคตเราสองคนก็คุยกันตลอดนะคะว่าอยากมีครอบครัว,positive
เพราะมีผญ คนอื่นเข้ามา,negative
เราก็รู้สึกว่าเค้าก็คงไม่ได้คิดอะไร,negative
ตอนนี้วันๆแทบไม่คุยกัน ผมก็หมดอารมณ์พิศวาสกับเค้านานแล้วด้วย แต่ประเด็นคือนิสัยของเค้าที่เปลี่ยนเป็นคนละขั้ว.,negative
เราจะถามเขาว่าทำไมไม่มีเวลาให้เลย เคยสนใจไหมที่ปล่อยให้อยู่คนเดียว,negative
สักวันหวังว่าเค้าจะแอดมา,positive
เขาก็มาบ่นว่าวันๆไม่ได้คุย เอาแต่เล่นเกมเอาแต่ดูหนัง,negative
ไม่อยากฟุ้งซ่านไม่อยากร้องไห้อีกแล้ว,negative
เริ่มเรื่อง  คุณนอปลื้มคุณโตโยมาก,positive
ไม่อยากรู้สึกเเบบนี้,negative
ผมกลับร้องไห้ เสียใจออกมาเลยล่ะครับ,negative
เชื่อมั่นในตัวเองไว้เสมอ,positive
ซึ่งหนูก็กลายเป็นคนที่ชอบห้ามเขาตั้งแต่นั้นมา,negative
ผ่านมาไม่นานเราก็ได้เลิกกับเเฟนค่ะ เพราะอึดอัดความสัมพันธ์เเบบนี้,negative
ถ้าเรื่องบนเตียงไปด้วยกันไม่ได้ คิดว่าชีวิตคู่จะไปกันรอดไหม,negative
รู้สึกว่าอะไรที่เค้าทำแล้วเราโอเค,positive
เรารู้สึกสบายใจเวลาที่คุยกับเขา,positive
ผมเลิกกับแฟนเก่ามาได้ปีนี้เข้าปีที่4แล้ว ระยะเวลาถ้าเป็นคนอื่นคงลืมไปแล้ว,negative
เรากับแฟนจะได้คุยหรือบอกรักกันก็ก่อนจะนอนนะ,positive
เค้าตื้อเรื่อยๆแล้วเราก็ใจอ่อน มาบ้านตามเคย,positive
คุณนอก็ไม่ได้ทักคุณโตโยไป5วันละ,negative
เสียงดังเอะอะโวยวาย เราที่เป็นแฟนจะไปเล่นด้วยก็ไม่ได้,negative
เราอยากไปเที่ยวกับเขา,positive
รู้สึกสบายใจเวลาอยู่กับพี่เขามากกว่า,positive
ไม่ได้รู้สึกรักชอบอะไรคุณหรอก,negative
เเฟนคุณ ไม่สนใจคุณ ไม่สนใจความรู้สึกคุณ ,negative
อัธยาศัยดี ไม่คิดมากค่ะ,positive
เราสองคนอยู่ใกล้กัน ที่ที่เคยไปก็มีเค้าพาไปทุกที่,positive
สาเหตุที่เลิกกันคือ เราจับได้ว่าเขามีคนอื่นค่ะ และครั้งนี้ไม่ใช่รอบแรก,negative
สนิทกันเล่นด้วยกันบ่อย,positive
เค้าจับได้ก็ยังอดทนกับเรา ให้อภัย,positive
ไม่รู้จะตอบเขายังไง,negative
โดนส่วนตัวแล้วเราเป็นตลก,positive
เค้าบอกมันเป็นความส่วนตัวของเค้า ไม่อยากให้เรามายุ่ง,negative
เราก็ทะเลาะกันบ่อย,negative
เพราะเชื่อใจมันพังไปแล้ว,negative
ยิ่งตกอยู่ในภาวะที่สิ้นหวังมาก,negative
แอบไปไหนมาไหนก็เดินห่างๆ,negative
ถามว่ารักมั้ย คิดถึงมั้ย ตอบเลยมากๆ,positive
เราพูดกับเขาเรื่องนี้หลายครั้งแล้ว แต่เขากับบอกว่าเราหาเรื่องมาให้ทะเลาะกันอีกแล้ว,negative
เราเป็นพวกที่ชอบคิดมากด้วยค่ะ,negative
จนตอนนี้มีคนที่คุยๆกันอยู่ก็เหมือนจะโดนเทอีกแล้ว,negative
เราเองยอมรับว่ายังรักเขาอยู่ คิดถึงเขาอยู่,positive
แต่ตัวเค้าบอกกับเราว่าไว้ใจเค้าได้ แต่ก็ยังไม่ค่อยไว้ใจอยู่ดี เลยไม่ค่อยปล่อยให้เค้าไปไหนคนเดียวเลย,negative
เริ่มแรกเราโครตเสียใจเลยป่นกับความน้อยใจเลยแหละ,negative
ทำอย่างไรให้ได้คุยกันอีกควรทักคุณโตโยไปดีมั้ย,positive
แต่เราไม่กล้ามองกลับตรงๆ ใจมันเต้น,positive
บางทีก็ส่งคำหวานมา,positive
เค้าก็ชมเราตลอดนะคะว่าน่ารัก หน้าก็สวย หุ่นก็ดี เสียงก็น่ารัก,positive
รักดีดีที่หลายคนเฝ้าค้นหา อยากรู้ว่ารักดีดีมีจริงไหม,positive
ผู้ชายเขาไม่ได้คิดถึงอนาคตแบบเรา,negative
เราเป็นคนไม่ได้เก่งขนาดนั้นค่ะ,negative
สิ่งเล็ก ๆ น้อย ๆ เหล่านั้นมันทำให้เราค่อย ๆ รักเขาค่ะ,positive
ในใจแบบทำไมแค่นี้ถึงมาดูแลกันไม่ได้,negative
เค้าเคยนอกใจไปคุยกับคนอื่น แต่ผมจับได้เร็ว แต่เค้าก็โกหกจนวินาทีสุดท้าย ไม่ยอมรับเลย,negative
ในที่ทำงานก็ไม่ได้คุย,negative
คนนี้เจอครั้งแรก สเปกมาก ตาตี้ ผิวคล้ำ อบอุ่น,positive
ในทางกลับกันเราก็ทรมาน,negative
เราเป็นเพื่อนเล่นเกมกัน,positive
เรากำลังตัดสินในว่าจะคุยตรงๆไปเลยว่าควรหายกันไปได้เเล้ว,negative
รักที่ไม่เคยลืม,positive
พี่เขาก็นิสัยดีมากๆ เข้าใจเรา,positive
คือเราอึดอัดมาก เบื่อ,negative
เราเห็นเลยว่าทุกครั้งที่เราจะมองเขาละพอหันไปก็เจอเขามองเราอยู่แล้ว,positive
เค้าทำอะไรที่พูดไม่ได้เลย,negative
ไม่ว่าจะยังไงยังอยากมีเขาอยุ่,positive
ผมมักจะยิ้มออกมาเสมอ จนแม่ถามว่ายิ้มอะไร,positive
ตอนแรกเขาชอบเราค่ะ,positive
ยอมเป็นพ่อหม้ายลูกติดเพราะรักลูกมาก,positive
ช่วยดูแลกัน เราอยากเปิดใจมากๆเลย,positive
บอกว่ารักแรกพบเลยก็ได้นะ,positive
เค้าบอกกับเราว่ารักเรา,positive
เราเปิดใจคุยกับเขาหลายครั้ง,positive
ลองใหม่อีกครั้ง,positive
แฟนเราทำให้เรารู้สึกว่าเราเป็นผู้หญิงโชคดีที่สุดในโลก,positive
เคยเปิดใจคุยกับเขาแล้วนะคะ,positive
อยากให้มันเป็นเหมือนเดิมอยากให้เรารักกันแต่ต่างฝ่ายต่างเข้าใจกัน,positive
ยังวนเวียนอยู่กับเรื่องแฟนเก่า  อ่านกระทู้แต่เรื่องแฟนเก่า,negative
ผมเพ้อถึงเธอว่า ไปทำนู่นทำนี่ด้วยกัน,positive
ไม่ตกหลุมรักใครซะนาน,negative
พอมันไม่ใช่อย่างที่เขาคิด เราก็เลยมีปัญหากันค่ะ,negative
ระหว่างนั้นเพื่อนคนนี้ก้อเข้ามามีความสัมพันธ์ที่ลึกซึ้ง,positive
"เราบอกเลิกเค้า แต่เค้าไม่ยอมรับความจริง, ไม่ยอมลบรูปคู่อะไรออกเลย",negative
คิดถึงเขาเหลือ​เกิน,positive
ยังหวังว่าสักวันนึงเราสองคนจะได้กลับมาอยู่ด้วยกัน,positive
เราไม่สบายใจ เค้าบอกเราชอบชวนทะเลาะเรื่องนี้,negative
สิ่งที่แฟนเราเตือนอาจจะเป็นเรื่องหวังดี,positive
จนสุดท้ายเราตัดสินใจที่จะยอมคุยกับเขาดู,positive
หากคุณควบคุมความคิดตัวเองไม่ได้แล้ว แสดงว่าคุณจะควบคุมการกระทำและคำพูดไม่ได้เช่นกัน,negative
รักจริงใจรักแน่แท้ที่มองหา มีความรักมอบให้เราเสมอมา ทุกเวลาไม่เคยรักเราน้อยลง,positive
คือเรารู้สึกว่าแฟนเราหล่อมากๆๆ,positive
จะไปหาเพื่อนบ่อยมากๆ,positive
ผมก็ไม่อยากคุยนานเพราะผมไม่ชอบ แล้วผมก็ปฏิเสธไปแล้ว,negative
เรายอมเสียสละให้แฟนเรามากๆ,positive
ไม่ใช่ไม่มีคนมอง มีครับแต่ไม่เปิดใจ แค่นั้นเองเบื่อครับ,negative
ห้ามไปไหนกะเพื่อน ห้ามไปเลย,negative
เพื่อนของเราทำให้เราได้คุยกับเขา,positive
ก็ปล่อยไปเถอะ ค่อยหาที่ใหม่,positive
ฮือคือเราคาใจมากค่ะ,negative
จนเราชวนทะเลาะบ่อยครั้งเพราะเรื่องพวกนี้เรื่องเดิมๆ,negative
ก็คุยกันจริงๆสองปี,positive
แล้วเราก็สังเกตุว่าพี่ชายหมอ พยายามจะเข้ามาคุยกับเรา,positive
คนคิดบวกเขาจะมองแต่ข้อดีของทุกปัญหา,positive
ผมเป็นคนขี้อายมาก,negative
เขาทำร้ายจิตใจเราไปมีคนใหม่ตั้งแต่มีเรา  ,negative
ทุกอย่างมันก็โอเคมาตลอดจนเราโดนนอกใจ,negative
เค้าเข้ามาคุยกับเรา ใจเราเต้นเลยค่ะ อบอุ่นมาก,positive
ความคิดเราสามารถกำหนดชีวิตของคนได้,positive
มีเรื่องราว ที่เอามาใช้เป็นข้อคิด เตือนใจตนได้,positive
แรกๆก็คิดว่าเขาคงอายเพราะเขาเป็นคนขี้อายมากๆ,negative
เขาเป็นคนเฮฮา ร่าเริง ยิ้มเก่ง เวลาคุยด้วยเราสนุก,positive
มันเป็นช่วงที่เป็นความรักแล้ว,positive
แฟนก็บอกว่าเลิกกันไปเลย เบื่อเต็มทีแล้ว,negative
รู้สึกเหมือนตัวเองต่ำต้อย ไม่คู่ควรกับใครเลยค่ะ,negative
ก็เจอหน้ากันตลอด เพราะพี่เขาทำงานอยู่ที่เดียวกับเรา,positive
เลิกเรียนก็ชอบมารอรับ ชอบซื้อของมาให้,positive
เมื่อก่อนแฟนดูแลดีมาก ทั้งดูแลทั้งเปย์ ต่างๆนาๆ,positive
ทุกวันนี้ก็ยังชอบผู้ชายอยู่ แต่ข้างในหัวใจ,positive
ตอนนี้เราเป็นคนใจชาไปแล้วอ่ะค่ะบอบช้ำจนใจชา,negative
ทำเหมือนเราเป็นคนผิดอยู่ตลอด เราพูดอะไรแฟนจะบอกว่าเราหาเรื่องทะเลาะกัน,negative
เราก็ไม่ได้คุยกันอีก,negative
